path,label
data\20251031-122545-7fc919-L0.npz,0
data\20251031-122546-a8c0ab-L0.npz,0
data\20251031-122547-6aab31-L0.npz,0
data\20251031-122559-15511a-L0.npz,0
data\20251031-122559-2f710a-L0.npz,0
data\20251031-122600-b642c6-L0.npz,0
data\20251031-122600-e82de8-L0.npz,0
data\20251031-122600-a544b2-L0.npz,0
data\20251031-122601-602540-L0.npz,0
data\20251031-122601-8d1367-L0.npz,0
data\20251031-122602-6a5a5d-L0.npz,0
data\20251031-122602-852c2a-L0.npz,0
data\20251031-122602-8439fd-L0.npz,0
data\20251031-122603-c17ed3-L0.npz,0
data\20251031-122603-dcf770-L0.npz,0
data\20251031-122603-1bef6c-L0.npz,0
data\20251031-122603-35a1e9-L0.npz,0
data\20251031-122605-8509b1-L0.npz,0
data\20251031-122614-2dead8-L0.npz,0
data\20251031-122614-e28367-L0.npz,0
data\20251031-122622-a779f5-L1.npz,1
data\20251031-122623-64d209-L1.npz,1
data\20251031-122624-f3dd12-L1.npz,1
data\20251031-122624-9728f1-L1.npz,1
data\20251031-122625-e9c60e-L1.npz,1
data\20251031-122626-50af1e-L1.npz,1
data\20251031-122627-b779db-L1.npz,1
data\20251031-122628-517227-L1.npz,1
data\20251031-122629-9d86ba-L1.npz,1
data\20251031-122629-870ef6-L1.npz,1
data\20251031-122630-cb1394-L1.npz,1
data\20251031-122631-80f111-L1.npz,1
data\20251031-122632-d326e1-L1.npz,1
data\20251031-122633-72f030-L1.npz,1
data\20251031-122634-b625ff-L1.npz,1
data\20251031-122640-a8ba98-L1.npz,1
data\20251031-122640-276d6c-L1.npz,1
data\20251031-122641-4c2a18-L1.npz,1
data\20251031-122642-66e11a-L1.npz,1
data\20251031-122643-28222b-L1.npz,1
data\20251031-122644-46fac5-L1.npz,1
data\20251031-122644-b94265-L1.npz,1
data\20251031-122645-8d72c1-L1.npz,1
data\20251031-122646-ef6422-L1.npz,1
data\20251031-122647-8bfa3e-L1.npz,1
data\20251031-122838-26b108-L2.npz,2
data\20251031-122838-8973f5-L2.npz,2
data\20251031-122839-65087b-L2.npz,2
data\20251031-122840-86a8c2-L2.npz,2
data\20251031-122840-86b09d-L2.npz,2
data\20251031-122841-07427a-L2.npz,2
data\20251031-122842-da624e-L2.npz,2
data\20251031-122842-67503d-L2.npz,2
data\20251031-122843-3c36ae-L2.npz,2
data\20251031-122843-afd509-L2.npz,2
data\20251031-122844-27888a-L2.npz,2
data\20251031-122845-e67edf-L2.npz,2
data\20251031-122846-ce8716-L2.npz,2
data\20251031-122846-7bd12c-L2.npz,2
data\20251031-122847-c57046-L2.npz,2
data\20251031-122850-e294cd-L2.npz,2
data\20251031-122851-e4526a-L2.npz,2
data\20251031-122852-3fb746-L2.npz,2
data\20251031-122852-134de9-L2.npz,2
data\20251031-122853-1db785-L2.npz,2
data\20251031-122854-5e7007-L2.npz,2
data\20251031-122854-c4249e-L2.npz,2
data\20251031-122855-3067fd-L2.npz,2
data\20251031-122856-63e87c-L2.npz,2
